iiii

epoch,acc_metric,loss,lr,val_acc_metric,val_loss
0,94.245,0.020725948736071587,"""[1.0]""",98.34,0.049383456931629426
1,97.98833333333333,0.012762053869664669,"""[1.0]""",98.92,0.03356346059955275
2,98.51333333333334,0.014190512709319592,"""[1.0]""",99.03,0.028652315869544795
3,98.69333333333333,0.012242226861417294,"""[1.0]""",99.01,0.03199981402507586
4,98.935,0.006651247385889292,"""[1.0]""",99.06,0.030528353609164137
